N,K,STRATEGY,SEARCH ITERATIONS,PERFORMANCE,SOLUTION,TIME TAKEN,IMPROVEMENT
12,5,Local Search,4.0,0.9842385034158547,100000010000,0.666325569152832,0.3906306105578764
12,5,Local Search,1.0,0.6778390103810127,000101100111,0.2916290760040283,0.3110649856399132
12,5,Local Search,5.0,0.8930755418358111,000100000000,0.6873815059661865,0.4354879969233455
12,5,Local Search,3.0,0.7981381932209172,000100000000,0.47938013076782227,0.35821416279838947
12,5,Local Search,2.0,0.8040650849249931,001110001111,0.5415077209472656,0.3743918049362026
12,5,Local Search,2.0,0.9539068390378214,000000000010,0.3906383514404297,0.2650323411674491
12,5,Local Search,2.0,0.9371611907545218,000100000000,0.22896981239318848,0.31273470561944494
12,5,Local Search,3.0,0.9504770104033439,100000000000,0.4636843204498291,0.338646697160232
12,5,Local Search,4.0,0.9504744086785192,000001000000,0.567615270614624,0.5053159729026195
12,5,Local Search,3.0,0.9663343545816026,000000001000,0.4585380554199219,0.5948033218987061
12,5,Local Search,2.0,0.9481695551903034,100001000000,0.23400163650512695,0.2442680562049626
12,5,Local Search,1.0,0.7985562777008183,010001000010,0.16165804862976074,0.4577551528746243
12,5,Local Search,3.0,0.8976234340336181,100010010000,0.5203695297241211,0.46950080008975786
12,5,Local Search,2.0,0.9402117766932825,010000100000,0.2656974792480469,0.35048958907953176
12,5,Local Search,3.0,0.796280739070957,101110110101,0.854189395904541,0.22893145014976268
12,5,Local Search,3.0,0.9534708012532046,000000000001,0.5416922569274902,0.6170591474663942
12,5,Local Search,3.0,0.9808005588642011,000000000010,0.5416984558105469,0.6142365870574463
12,5,Local Search,2.0,0.9873333784777969,000000000010,0.1873161792755127,0.2756858910167238
12,5,Local Search,3.0,0.8838389015783329,110011010001,0.6408588886260986,0.6024306229156038
12,5,Local Search,2.0,0.9437939612534592,000000001100,0.27541136741638184,0.33769510528869817
12,5,Local Search,2.0,0.9168435184526511,000000000110,0.3488767147064209,0.3798032260835712
12,5,Local Search,3.0,0.9689247715763991,000000000010,0.35415196418762207,0.3441345401010082
12,5,Local Search,2.0,0.8020581971255722,111111101010,0.5209236145019531,0.4826288973504473
12,5,Local Search,2.0,0.9450832248386093,100000101000,0.33328819274902344,0.5630252130349804
12,5,Local Search,3.0,0.998454450235995,000000000100,0.3719320297241211,0.5633796562194096
12,5,Local Search,4.0,0.9706055789977284,001000000100,0.5416510105133057,0.629370414913182
12,5,Local Search,4.0,0.930189822684132,000000010000,0.5833630561828613,0.36334404790890695
12,5,Local Search,1.0,0.9385886514527861,001001100000,0.140730619430542,0.20524983264590213
12,5,Local Search,4.0,0.9900477906527811,000000010000,0.43872904777526855,0.4332526009237181
12,5,Local Search,4.0,0.8993898640949916,000001000000,0.5259373188018799,0.5993309493554888
